pension_start_age,spend_multiplier,strategy,spending_rule,initial_money,initial_annual_cost,value_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
70,0.7500,No dynamic rebalance,2.5000,14932.2209,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,No dynamic rebalance,2.5000,14932.2209,373.3055,spend25p,373.7128,364.1934,355.6448,346.3677,337.8628,329.3322,320.9544,311.5580,303.0975,294.3246,-2.3037,-14.2931,-26.2258,-36.6676,-46.0220,-54.5883,-61.9095,-68.7798,-75.2070,-81.1390,-87.1158,-93.0242,-98.7666,-105.1105,-112.4609,-120.5343,-130.4492,-140.5607,-152.1578,-165.4524,-180.1699,-196.5997,-215.2145,-235.1507,-256.2297
70,0.7500,No dynamic rebalance,2.5000,14932.2209,373.3055,spend50p,376.2463,371.4735,367.6011,364.2788,362.3187,360.1409,356.4873,353.2813,348.3951,343.5171,12.6377,-0.2583,-12.5450,-24.3638,-34.7047,-44.0918,-52.7111,-60.3684,-67.4195,-73.9466,-80.0945,-85.8788,-91.8512,-97.9305,-104.3593,-111.6812,-119.9068,-128.8689,-138.7162,-149.4649,-160.7476,-173.1774,-186.7861,-201.1975,-216.4234
70,0.7500,No dynamic rebalance,2.5000,14932.2209,373.3055,spend75p,378.7920,379.2366,381.2593,383.5840,386.7655,390.8211,395.5651,399.6126,400.5010,402.3291,26.6642,13.3949,0.1763,-12.3708,-23.7847,-34.4025,-43.7884,-52.0660,-59.5515,-66.4664,-72.7876,-78.7817,-84.8203,-90.8732,-97.5052,-104.5990,-112.0282,-119.8661,-127.9403,-137.2939,-146.6229,-156.1575,-167.0968,-177.6203,-189.0831
70,0.7500,固定最適比率,2.5000,14932.2209,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,固定最適比率,2.5000,14932.2209,373.3055,spend25p,373.7128,364.1934,355.6448,346.3677,337.8628,329.3322,320.9544,311.5580,303.0975,294.3246,-2.3037,-14.2931,-26.2258,-36.6676,-46.0220,-54.5883,-61.9095,-68.7798,-75.2070,-81.1390,-87.1158,-93.0242,-98.7666,-105.1105,-112.4609,-120.5343,-130.4492,-140.5607,-152.1578,-165.4524,-180.1699,-196.5997,-215.2145,-235.1507,-256.2297
70,0.7500,固定最適比率,2.5000,14932.2209,373.3055,spend50p,376.2463,371.4735,367.6011,364.2788,362.3187,360.1409,356.4873,353.2813,348.3951,343.5171,12.6377,-0.2583,-12.5450,-24.3638,-34.7047,-44.0918,-52.7111,-60.3684,-67.4195,-73.9466,-80.0945,-85.8788,-91.8512,-97.9305,-104.3593,-111.6812,-119.9068,-128.8689,-138.7162,-149.4649,-160.7476,-173.1774,-186.7861,-201.1975,-216.4234
70,0.7500,固定最適比率,2.5000,14932.2209,373.3055,spend75p,378.7920,379.2366,381.2593,383.5840,386.7655,390.8211,395.5651,399.6126,400.5010,402.3291,26.6642,13.3949,0.1763,-12.3708,-23.7847,-34.4025,-43.7884,-52.0660,-59.5515,-66.4664,-72.7876,-78.7817,-84.8203,-90.8732,-97.5052,-104.5990,-112.0282,-119.8661,-127.9403,-137.2939,-146.6229,-156.1575,-167.0968,-177.6203,-189.0831
70,0.7500,DynamicV1Rebalance,2.5000,14932.2209,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,DynamicV1Rebalance,2.5000,14932.2209,373.3055,spend25p,373.7128,364.1934,355.6448,346.3677,337.8628,329.3322,320.9544,311.5580,303.0975,294.3246,-2.3037,-14.2931,-26.2258,-36.6676,-46.0220,-54.5883,-61.9095,-68.7798,-75.2070,-81.1390,-87.1158,-93.0242,-98.7666,-105.1105,-112.4609,-120.5343,-130.4492,-140.5607,-152.1578,-165.4524,-180.1699,-196.5997,-215.2145,-235.1507,-256.2297
70,0.7500,DynamicV1Rebalance,2.5000,14932.2209,373.3055,spend50p,376.2463,371.4735,367.6011,364.2788,362.3187,360.1409,356.4873,353.2813,348.3951,343.5171,12.6377,-0.2583,-12.5450,-24.3638,-34.7047,-44.0918,-52.7111,-60.3684,-67.4195,-73.9466,-80.0945,-85.8788,-91.8512,-97.9305,-104.3593,-111.6812,-119.9068,-128.8689,-138.7162,-149.4649,-160.7476,-173.1774,-186.7861,-201.1975,-216.4234
70,0.7500,DynamicV1Rebalance,2.5000,14932.2209,373.3055,spend75p,378.7920,379.2366,381.2593,383.5840,386.7655,390.8211,395.5651,399.6126,400.5010,402.3291,26.6642,13.3949,0.1763,-12.3708,-23.7847,-34.4025,-43.7884,-52.0660,-59.5515,-66.4664,-72.7876,-78.7817,-84.8203,-90.8732,-97.5052,-104.5990,-112.0282,-119.8661,-127.9403,-137.2939,-146.6229,-156.1575,-167.0968,-177.6203,-189.0831
70,0.7500,SpendAwareDPRebalance (R70-aware),2.5000,14932.2209,373.3055,survival,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
70,0.7500,SpendAwareDPRebalance (R70-aware),2.5000,14932.2209,373.3055,spend25p,373.7128,364.1934,355.6448,346.3677,337.8628,329.3322,320.9544,311.5580,303.0975,294.3246,-2.3037,-14.2931,-26.2258,-36.6676,-46.0220,-54.5883,-61.9095,-68.7798,-75.2070,-81.1390,-87.1158,-93.0242,-98.7666,-105.1105,-112.4609,-120.5343,-130.4492,-140.5607,-152.1578,-165.4524,-180.1699,-196.5997,-215.2145,-235.1507,-256.2297
70,0.7500,SpendAwareDPRebalance (R70-aware),2.5000,14932.2209,373.3055,spend50p,376.2463,371.4735,367.6011,364.2788,362.3187,360.1409,356.4873,353.2813,348.3951,343.5171,12.6377,-0.2583,-12.5450,-24.3638,-34.7047,-44.0918,-52.7111,-60.3684,-67.4195,-73.9466,-80.0945,-85.8788,-91.8512,-97.9305,-104.3593,-111.6812,-119.9068,-128.8689,-138.7162,-149.4649,-160.7476,-173.1774,-186.7861,-201.1975,-216.4234
70,0.7500,SpendAwareDPRebalance (R70-aware),2.5000,14932.2209,373.3055,spend75p,378.7920,379.2366,381.2593,383.5840,386.7655,390.8211,395.5651,399.6126,400.5010,402.3291,26.6642,13.3949,0.1763,-12.3708,-23.7847,-34.4025,-43.7884,-52.0660,-59.5515,-66.4664,-72.7876,-78.7817,-84.8203,-90.8732,-97.5052,-104.5990,-112.0282,-119.8661,-127.9403,-137.2939,-146.6229,-156.1575,-167.0968,-177.6203,-189.0831
