target_years,spend_ratio,strategy,survival_probability
10,0.0666666,固定最適比率,0.9992
10,0.0666666,ダイナミック最適比率,1.0
10,0.0666666,110-年齢 (30歳開始),0.9826
10,0.0666666,110-年齢 (40歳開始),0.9922
10,0.0666666,110-年齢 (50歳開始),0.9968
10,0.0666666,110-年齢 (60歳開始),0.9996
10,0.05,固定最適比率,0.9984
10,0.05,ダイナミック最適比率,1.0
10,0.05,110-年齢 (30歳開始),0.9992
10,0.05,110-年齢 (40歳開始),0.9998
10,0.05,110-年齢 (50歳開始),1.0
10,0.05,110-年齢 (60歳開始),1.0
10,0.04,固定最適比率,0.9992
10,0.04,ダイナミック最適比率,1.0
10,0.04,110-年齢 (30歳開始),0.9998
10,0.04,110-年齢 (40歳開始),1.0
10,0.04,110-年齢 (50歳開始),1.0
10,0.04,110-年齢 (60歳開始),1.0
10,0.035714,固定最適比率,0.9996
10,0.035714,ダイナミック最適比率,1.0
10,0.035714,110-年齢 (30歳開始),1.0
10,0.035714,110-年齢 (40歳開始),1.0
10,0.035714,110-年齢 (50歳開始),1.0
10,0.035714,110-年齢 (60歳開始),1.0
10,0.033333,固定最適比率,0.9998
10,0.033333,ダイナミック最適比率,1.0
10,0.033333,110-年齢 (30歳開始),1.0
10,0.033333,110-年齢 (40歳開始),1.0
10,0.033333,110-年齢 (50歳開始),1.0
10,0.033333,110-年齢 (60歳開始),1.0
10,0.03,固定最適比率,0.9998
10,0.03,ダイナミック最適比率,1.0
10,0.03,110-年齢 (30歳開始),1.0
10,0.03,110-年齢 (40歳開始),1.0
10,0.03,110-年齢 (50歳開始),1.0
10,0.03,110-年齢 (60歳開始),1.0
10,0.028571,固定最適比率,0.9998
10,0.028571,ダイナミック最適比率,1.0
10,0.028571,110-年齢 (30歳開始),1.0
10,0.028571,110-年齢 (40歳開始),1.0
10,0.028571,110-年齢 (50歳開始),1.0
10,0.028571,110-年齢 (60歳開始),1.0
10,0.025,固定最適比率,1.0
10,0.025,ダイナミック最適比率,1.0
10,0.025,110-年齢 (30歳開始),1.0
10,0.025,110-年齢 (40歳開始),1.0
10,0.025,110-年齢 (50歳開始),1.0
10,0.025,110-年齢 (60歳開始),1.0
10,0.022222,固定最適比率,1.0
10,0.022222,ダイナミック最適比率,1.0
10,0.022222,110-年齢 (30歳開始),1.0
10,0.022222,110-年齢 (40歳開始),1.0
10,0.022222,110-年齢 (50歳開始),1.0
10,0.022222,110-年齢 (60歳開始),1.0
10,0.02,固定最適比率,1.0
10,0.02,ダイナミック最適比率,1.0
10,0.02,110-年齢 (30歳開始),1.0
10,0.02,110-年齢 (40歳開始),1.0
10,0.02,110-年齢 (50歳開始),1.0
10,0.02,110-年齢 (60歳開始),1.0
20,0.0666666,固定最適比率,0.43779999999999997
20,0.0666666,ダイナミック最適比率,0.5562
20,0.0666666,110-年齢 (30歳開始),0.4272
20,0.0666666,110-年齢 (40歳開始),0.4134
20,0.0666666,110-年齢 (50歳開始),0.386
20,0.0666666,110-年齢 (60歳開始),0.3398
20,0.05,固定最適比率,1.0
20,0.05,ダイナミック最適比率,1.0
20,0.05,110-年齢 (30歳開始),0.7736000000000001
20,0.05,110-年齢 (40歳開始),0.8076
20,0.05,110-年齢 (50歳開始),0.8378
20,0.05,110-年齢 (60歳開始),0.8764
20,0.04,固定最適比率,0.999
20,0.04,ダイナミック最適比率,1.0
20,0.04,110-年齢 (30歳開始),0.9282
20,0.04,110-年齢 (40歳開始),0.9516
20,0.04,110-年齢 (50歳開始),0.974
20,0.04,110-年齢 (60歳開始),0.99
20,0.035714,固定最適比率,0.9986
20,0.035714,ダイナミック最適比率,1.0
20,0.035714,110-年齢 (30歳開始),0.9626
20,0.035714,110-年齢 (40歳開始),0.9804
